n_tries,n_choices,guesses,feedback,won
4,"[6512, 972, 107, 5]","['wends', 'furry', 'talky', 'malay']","{'false_letters': ['e', 'f', 'u', 'n', 'w', 'd', 's', 'r', 'k', 't'], 'true_letters': {4: 'y', 1: 'a', 2: 'l', 0: 'm', 3: 'a'}, 'misplaced_letters': {}}",1
2,"[6512, 10]","['barks', 'risks']","{'false_letters': ['b', 'a'], 'true_letters': {3: 'k', 4: 's', 0: 'r', 1: 'i', 2: 's'}, 'misplaced_letters': {2: ['r']}}",1
10,"[6512, 993, 84, 31, 27, 20, 12, 7, 4, 2]","['chalk', 'warts', 'gazes', 'oases', 'japes', 'safes', 'dames', 'babes', 'eaves', 'vaxes']","{'false_letters': ['p', 'f', 'j', 'z', 'o', 'w', 'g', 'd', 'm', 'b', 'l', 'r', 'k', 't', 'h', 'c'], 'true_letters': {1: 'a', 4: 's', 3: 'e', 0: 'v', 2: 'x'}, 'misplaced_letters': {2: ['a', 's', 'v'], 0: ['s', 'e']}}",0
6,"[6512, 133, 92, 24, 2, 1]","['tunas', 'izaak', 'dread', 'gamay', 'loyal', 'bylaw']","{'false_letters': ['e', 'i', 'u', 'o', 'z', 'n', 'g', 'd', 'm', 's', 'r', 'k', 't'], 'true_letters': {3: 'a', 0: 'b', 1: 'y', 2: 'l', 4: 'w'}, 'misplaced_letters': {2: ['a', 'y'], 1: ['a'], 4: ['y', 'l'], 0: ['l']}}",1
6,"[6512, 66, 35, 3, 2, 1]","['saver', 'urals', 'traps', 'trans', 'trays', 'trams']","{'false_letters': ['e', 'p', 'u', 'y', 'n', 'v', 'l'], 'true_letters': {1: 'r', 2: 'a', 4: 's', 0: 't', 3: 'm'}, 'misplaced_letters': {0: ['s'], 1: ['a'], 4: ['r']}}",1
6,"[6512, 1040, 218, 57, 19, 2]","['doffs', 'tress', 'makes', 'ivies', 'piles', 'giles']","{'false_letters': ['f', 'p', 'o', 'v', 'm', 'd', 'a', 'r', 'k', 't'], 'true_letters': {4: 's', 3: 'e', 1: 'i', 2: 'l', 0: 'g'}, 'misplaced_letters': {2: ['e', 'i'], 3: ['s'], 0: ['i']}}",1
7,"[6512, 502, 39, 23, 13, 7, 4]","['pitas', 'loves', 'romes', 'bones', 'codes', 'hoses', 'oozes']","{'false_letters': ['p', 'i', 'n', 'v', 'm', 'b', 'd', 'l', 'a', 'r', 't', 'h', 'c'], 'true_letters': {4: 's', 1: 'o', 3: 'e', 0: 'o', 2: 'z'}, 'misplaced_letters': {2: ['s']}}",0
3,"[6512, 463, 18]","['getup', 'tarts', 'twill']","{'false_letters': ['e', 'p', 'u', 'g', 's', 'a', 'r'], 'true_letters': {0: 't', 1: 'w', 2: 'i', 3: 'l', 4: 'l'}, 'misplaced_letters': {2: ['t'], 3: ['t']}}",1
5,"[6512, 173, 13, 4, 2]","['equal', 'adler', 'alyce', 'alike', 'alive']","{'false_letters': ['u', 'q', 'y', 'd', 'r', 'k', 'c'], 'true_letters': {0: 'a', 1: 'l', 4: 'e', 2: 'i', 3: 'v'}, 'misplaced_letters': {0: ['e'], 3: ['a', 'e'], 4: ['l'], 2: ['l']}}",1
9,"[6512, 2353, 147, 11, 7, 5, 3, 2, 1]","['rotor', 'scuds', 'chimp', 'chief', 'chili', 'chiba', 'chivy', 'chink', 'chick']","{'false_letters': ['p', 'e', 'u', 'f', 'o', 'y', 'v', 'n', 'd', 'm', 's', 'l', 'r', 'b', 'a', 't'], 'true_letters': {0: 'c', 1: 'h', 2: 'i', 4: 'k', 3: 'c'}, 'misplaced_letters': {1: ['c'], 4: ['i']}}",0
5,"[6512, 1409, 62, 3, 1]","['meiji', 'steno', 'freda', 'cheap', 'wheal']","{'false_letters': ['f', 'p', 'j', 'i', 'o', 'n', 'm', 'd', 's', 'r', 't', 'c'], 'true_letters': {2: 'e', 1: 'h', 3: 'a', 0: 'w', 4: 'l'}, 'misplaced_letters': {1: ['e'], 4: ['a']}}",1
6,"[6512, 871, 5, 4, 2, 1]","['tense', 'clops', 'fslic', 'scala', 'scaly', 'scald']","{'false_letters': ['p', 'e', 'i', 'f', 'o', 'y', 'n', 't'], 'true_letters': {0: 's', 1: 'c', 2: 'a', 3: 'l', 4: 'd'}, 'misplaced_letters': {3: ['s'], 0: ['c'], 1: ['l', 's'], 4: ['s', 'c', 'a'], 2: ['l']}}",1
6,"[6512, 191, 38, 16, 5, 1]","['decca', 'laura', 'samba', 'tanya', 'kappa', 'kafka']","{'false_letters': ['e', 'p', 'u', 'y', 'n', 'd', 'm', 's', 'l', 'r', 'b', 't', 'c'], 'true_letters': {4: 'a', 1: 'a', 0: 'k', 2: 'f', 3: 'k'}, 'misplaced_letters': {}}",1
5,"[6512, 250, 19, 5, 3]","['curio', 'roads', 'storm', 'swore', 'shore']","{'false_letters': ['u', 'i', 'w', 'd', 'm', 'a', 't', 'c'], 'true_letters': {0: 's', 2: 'o', 3: 'r', 4: 'e', 1: 'h'}, 'misplaced_letters': {2: ['r'], 4: ['o', 's'], 0: ['r'], 1: ['o']}}",1
4,"[6512, 331, 20, 3]","['coifs', 'talon', 'groom', 'pekoe']","{'false_letters': ['f', 'i', 'n', 'g', 'm', 's', 'a', 'l', 'r', 't', 'c'], 'true_letters': {3: 'o', 0: 'p', 1: 'e', 2: 'k', 4: 'e'}, 'misplaced_letters': {1: ['o'], 2: ['o']}}",1
2,"[6512, 1]","['vigor', 'verdi']","{'false_letters': ['g', 'o'], 'true_letters': {0: 'v', 1: 'e', 2: 'r', 3: 'd', 4: 'i'}, 'misplaced_letters': {1: ['i'], 4: ['r']}}",1
4,"[6512, 42, 4, 1]","['yoked', 'milky', 'flaky', 'lanky']","{'false_letters': ['e', 'f', 'i', 'o', 'd', 'm'], 'true_letters': {3: 'k', 4: 'y', 0: 'l', 1: 'a', 2: 'n'}, 'misplaced_letters': {0: ['y'], 2: ['k', 'l', 'a'], 1: ['l']}}",1
7,"[6512, 40, 23, 15, 13, 3, 2]","['bored', 'loner', 'comer', 'joker', 'tower', 'sower', 'rower']","{'false_letters': ['j', 'n', 'd', 'b', 'm', 'l', 's', 'k', 't', 'c'], 'true_letters': {1: 'o', 3: 'e', 4: 'r', 2: 'w', 0: 'r'}, 'misplaced_letters': {2: ['r']}}",0
4,"[6512, 890, 12, 6]","['davis', 'promo', 'flour', 'chore']","{'false_letters': ['p', 'f', 'u', 'i', 'v', 'd', 'm', 's', 'a', 'l'], 'true_letters': {2: 'o', 0: 'c', 1: 'h', 3: 'r', 4: 'e'}, 'misplaced_letters': {1: ['r'], 4: ['o', 'r']}}",1
3,"[6512, 10, 2]","['peach', 'bicep', 'copes']","{'false_letters': ['i', 'h', 'b', 'a'], 'true_letters': {3: 'e', 0: 'c', 1: 'o', 2: 'p', 4: 's'}, 'misplaced_letters': {0: ['p'], 1: ['e'], 3: ['c'], 2: ['c'], 4: ['p']}}",1
5,"[6512, 73, 25, 3, 1]","['beige', 'vitae', 'rosie', 'ollie', 'ozzie']","{'false_letters': ['v', 'g', 'b', 's', 'a', 'r', 'l', 't'], 'true_letters': {4: 'e', 3: 'i', 0: 'o', 1: 'z', 2: 'z'}, 'misplaced_letters': {1: ['e', 'i', 'o'], 2: ['i']}}",1
4,"[6512, 9, 2, 1]","['cunts', 'stacy', 'staci', 'stack']","{'false_letters': ['u', 'i', 'y', 'n'], 'true_letters': {0: 's', 1: 't', 2: 'a', 3: 'c', 4: 'k'}, 'misplaced_letters': {0: ['c'], 3: ['t'], 4: ['s']}}",1
5,"[6512, 2375, 337, 3, 2]","['nixon', 'wryly', 'bezel', 'belau', 'belch']","{'false_letters': ['u', 'i', 'o', 'y', 'z', 'x', 'n', 'w', 'a', 'r'], 'true_letters': {0: 'b', 1: 'e', 2: 'l', 3: 'c', 4: 'h'}, 'misplaced_letters': {3: ['l', 'e'], 4: ['l']}}",1
6,"[6512, 536, 102, 44, 22, 2]","['tabla', 'oases', 'raver', 'capek', 'jaded', 'haney']","{'false_letters': ['p', 'j', 'o', 'v', 'd', 'b', 's', 'l', 'r', 'k', 't', 'c'], 'true_letters': {1: 'a', 3: 'e', 0: 'h', 2: 'n', 4: 'y'}, 'misplaced_letters': {4: ['a']}}",1
4,"[6512, 1124, 318, 2]","['aloft', 'mujib', 'girds', 'riggs']","{'false_letters': ['f', 'u', 'j', 'o', 'm', 'b', 'd', 'a', 'l', 't'], 'true_letters': {1: 'i', 4: 's', 0: 'r', 2: 'g', 3: 'g'}, 'misplaced_letters': {3: ['i'], 0: ['g'], 2: ['r']}}",1
5,"[6512, 2866, 34, 15, 1]","['cutup', 'fonda', 'nabob', 'oneal', 'anons']","{'false_letters': ['p', 'e', 'u', 'f', 'd', 'b', 'l', 't', 'c'], 'true_letters': {1: 'n', 0: 'a', 2: 'o', 3: 'n', 4: 's'}, 'misplaced_letters': {1: ['o', 'a'], 2: ['n'], 4: ['a'], 0: ['n', 'o'], 3: ['o', 'a']}}",1
4,"[6512, 1023, 62, 1]","['tiber', 'munch', 'locks', 'ocala']","{'false_letters': ['e', 'u', 'i', 'n', 'm', 'b', 's', 'r', 'k', 't', 'h'], 'true_letters': {0: 'o', 1: 'c', 2: 'a', 3: 'l', 4: 'a'}, 'misplaced_letters': {3: ['c'], 0: ['l'], 1: ['o'], 2: ['c']}}",1
4,"[6512, 190, 7, 1]","['kebab', 'shuck', 'funky', 'nunki']","{'false_letters': ['e', 'f', 'y', 'b', 's', 'a', 'h', 'c'], 'true_letters': {1: 'u', 2: 'n', 3: 'k', 0: 'n', 4: 'i'}, 'misplaced_letters': {0: ['k'], 2: ['u'], 4: ['k']}}",1
4,"[6512, 353, 20, 2]","['grebe', 'sadie', 'smoke', 'sense']","{'false_letters': ['i', 'o', 'g', 'd', 'b', 'm', 'a', 'r', 'k'], 'true_letters': {4: 'e', 0: 's', 1: 'e', 2: 'n', 3: 's'}, 'misplaced_letters': {2: ['e']}}",1
4,"[6512, 94, 17, 7]","['lethe', 'melba', 'peals', 'venal']","{'false_letters': ['p', 'm', 'b', 's', 't', 'h'], 'true_letters': {1: 'e', 0: 'v', 2: 'n', 3: 'a', 4: 'l'}, 'misplaced_letters': {0: ['l'], 4: ['e', 'a'], 2: ['l', 'a'], 3: ['l']}}",1
4,"[6512, 145, 22, 2]","['chefs', 'copay', 'clvii', 'cuing']","{'false_letters': ['e', 'p', 'f', 'o', 'y', 'v', 's', 'a', 'l', 'h'], 'true_letters': {0: 'c', 1: 'u', 2: 'i', 3: 'n', 4: 'g'}, 'misplaced_letters': {3: ['i'], 4: ['i']}}",1
3,"[6512, 339, 3]","['crams', 'ibsen', 'onset']","{'false_letters': ['i', 'm', 'b', 'a', 'r', 'c'], 'true_letters': {2: 's', 3: 'e', 0: 'o', 1: 'n', 4: 't'}, 'misplaced_letters': {4: ['s', 'n']}}",1
4,"[6512, 15, 4, 1]","['dinah', 'wheat', 'hagar', 'hulas']","{'false_letters': ['e', 'i', 'n', 'w', 'g', 'd', 'r', 't'], 'true_letters': {3: 'a', 0: 'h', 1: 'u', 2: 'l', 4: 's'}, 'misplaced_letters': {4: ['h'], 1: ['h', 'a']}}",1
4,"[6512, 107, 31, 14]","['myers', 'getty', 'decay', 'jenny']","{'false_letters': ['g', 'm', 'd', 's', 'a', 'r', 't', 'c'], 'true_letters': {1: 'e', 4: 'y', 0: 'j', 2: 'n', 3: 'n'}, 'misplaced_letters': {1: ['y'], 2: ['e']}}",1
7,"[6512, 1561, 470, 13, 3, 2, 1]","['byway', 'curia', 'peals', 'slags', 'loafs', 'loads', 'loans']","{'false_letters': ['p', 'e', 'u', 'f', 'i', 'y', 'w', 'g', 'd', 'b', 'r', 'c'], 'true_letters': {2: 'a', 4: 's', 0: 'l', 1: 'o', 3: 'n'}, 'misplaced_letters': {3: ['a', 'l'], 4: ['a'], 0: ['s'], 1: ['l']}}",0
6,"[6512, 402, 94, 10, 2, 1]","['volga', 'endow', 'shops', 'bioko', 'brock', 'bjork']","{'false_letters': ['e', 'p', 'i', 'v', 'n', 'g', 'w', 'd', 's', 'a', 'l', 'h', 'c'], 'true_letters': {2: 'o', 0: 'b', 4: 'k', 1: 'j', 3: 'r'}, 'misplaced_letters': {1: ['o', 'r'], 3: ['o', 'k'], 4: ['o']}}",1
4,"[6512, 2087, 9, 1]","['folio', 'gushy', 'grunt', 'gnupg']","{'false_letters': ['f', 'i', 'o', 'y', 's', 'l', 'r', 't', 'h'], 'true_letters': {0: 'g', 2: 'u', 1: 'n', 3: 'p', 4: 'g'}, 'misplaced_letters': {1: ['u'], 3: ['n']}}",1
4,"[6512, 488, 109, 16]","['dozed', 'yolks', 'houri', 'mooch']","{'false_letters': ['e', 'u', 'z', 'i', 'y', 'd', 's', 'l', 'r', 'k'], 'true_letters': {1: 'o', 0: 'm', 2: 'o', 3: 'c', 4: 'h'}, 'misplaced_letters': {0: ['h']}}",1
5,"[6512, 2903, 139, 6, 1]","['pooch', 'reset', 'sizes', 'slued', 'salem']","{'false_letters': ['p', 'u', 'i', 'o', 'z', 'd', 'r', 't', 'h', 'c'], 'true_letters': {3: 'e', 0: 's', 1: 'a', 2: 'l', 4: 'm'}, 'misplaced_letters': {1: ['e', 'l'], 2: ['s'], 4: ['s']}}",1
3,"[6512, 74, 4]","['girly', 'gaped', 'gazes']","{'false_letters': ['p', 'i', 'y', 'd', 'l', 'r'], 'true_letters': {0: 'g', 1: 'a', 3: 'e', 2: 'z', 4: 's'}, 'misplaced_letters': {}}",1
5,"[6512, 30, 21, 11, 4]","['melts', 'isles', 'sales', 'voles', 'pules']","{'false_letters': ['i', 'o', 'v', 'm', 'a', 't'], 'true_letters': {2: 'l', 4: 's', 3: 'e', 0: 'p', 1: 'u'}, 'misplaced_letters': {1: ['e', 's'], 0: ['s']}}",1
3,"[6512, 7, 4]","['douse', 'meuse', 'pause']","{'false_letters': ['d', 'm', 'o'], 'true_letters': {2: 'u', 3: 's', 4: 'e', 0: 'p', 1: 'a'}, 'misplaced_letters': {1: ['e']}}",1
4,"[6512, 131, 13, 9]","['pears', 'arena', 'wreak', 'treat']","{'false_letters': ['p', 'n', 'w', 's', 'k'], 'true_letters': {1: 'r', 2: 'e', 3: 'a', 0: 't', 4: 't'}, 'misplaced_letters': {1: ['e'], 2: ['a'], 3: ['r'], 0: ['a'], 4: ['a']}}",1
4,"[6512, 110, 15, 1]","['array', 'tyson', 'coypu', 'joyce']","{'false_letters': ['p', 'u', 'n', 's', 'a', 'r', 't'], 'true_letters': {1: 'o', 2: 'y', 0: 'j', 3: 'c', 4: 'e'}, 'misplaced_letters': {4: ['y'], 1: ['y'], 3: ['o'], 0: ['c']}}",1
5,"[6512, 786, 12, 6, 5]","['adept', 'wises', 'noses', 'yeses', 'muses']","{'false_letters': ['p', 'i', 'o', 'y', 'n', 'w', 'd', 'a', 't'], 'true_letters': {2: 's', 3: 'e', 4: 's', 0: 'm', 1: 'u'}, 'misplaced_letters': {2: ['e'], 1: ['e']}}",1
4,"[6512, 26, 3, 1]","['dunes', 'mandy', 'rondo', 'hindi']","{'false_letters': ['e', 'u', 'o', 'y', 'm', 's', 'a', 'r'], 'true_letters': {2: 'n', 3: 'd', 0: 'h', 1: 'i', 4: 'i'}, 'misplaced_letters': {0: ['d']}}",1
4,"[6512, 946, 46, 2]","['quirk', 'grave', 'freer', 'frees']","{'false_letters': ['u', 'i', 'q', 'v', 'g', 'a', 'k'], 'true_letters': {1: 'r', 0: 'f', 2: 'e', 3: 'e', 4: 's'}, 'misplaced_letters': {3: ['r'], 4: ['e', 'r']}}",1
4,"[6512, 915, 28, 2]","['lucas', 'pygmy', 'ripen', 'biped']","{'false_letters': ['u', 'y', 'n', 'g', 'm', 's', 'l', 'a', 'r', 'c'], 'true_letters': {1: 'i', 2: 'p', 3: 'e', 0: 'b', 4: 'd'}, 'misplaced_letters': {0: ['p']}}",1
5,"[6512, 221, 128, 65, 5]","['goths', 'pours', 'coves', 'iowas', 'yowls']","{'false_letters': ['p', 'e', 'u', 'i', 'v', 'g', 'a', 'r', 't', 'h', 'c'], 'true_letters': {1: 'o', 4: 's', 2: 'w', 0: 'y', 3: 'l'}, 'misplaced_letters': {}}",1
3,"[6512, 151, 1]","['foray', 'burps', 'purse']","{'false_letters': ['f', 'o', 'y', 'b', 'a'], 'true_letters': {2: 'r', 1: 'u', 0: 'p', 3: 's', 4: 'e'}, 'misplaced_letters': {3: ['p'], 4: ['s']}}",1
5,"[6512, 166, 31, 4, 1]","['tango', 'ioctl', 'mouth', 'sooth', 'booth']","{'false_letters': ['u', 'i', 'n', 'g', 'm', 's', 'l', 'a', 'c'], 'true_letters': {1: 'o', 3: 't', 4: 'h', 2: 'o', 0: 'b'}, 'misplaced_letters': {0: ['t'], 4: ['o']}}",1
6,"[6512, 244, 5, 3, 2, 1]","['heels', 'react', 'yearn', 'peary', 'deary', 'weary']","{'false_letters': ['p', 'n', 'd', 's', 'l', 't', 'h', 'c'], 'true_letters': {1: 'e', 2: 'a', 3: 'r', 4: 'y', 0: 'w'}, 'misplaced_letters': {2: ['e'], 0: ['r', 'y']}}",1
5,"[6512, 868, 59, 8, 1]","['tykes', 'anglo', 'drawl', 'libra', 'ralph']","{'false_letters': ['e', 'i', 'o', 'y', 'n', 'g', 'w', 'd', 'b', 's', 'k', 't'], 'true_letters': {0: 'r', 1: 'a', 2: 'l', 3: 'p', 4: 'h'}, 'misplaced_letters': {0: ['a', 'l'], 3: ['l', 'r'], 1: ['r'], 2: ['a'], 4: ['l', 'a']}}",1
6,"[6512, 786, 316, 6, 3, 1]","['vaduz', 'raper', 'tawny', 'watch', 'wafts', 'waits']","{'false_letters': ['p', 'e', 'u', 'f', 'z', 'y', 'v', 'n', 'd', 'r', 'h', 'c'], 'true_letters': {1: 'a', 0: 'w', 3: 't', 4: 's', 2: 'i'}, 'misplaced_letters': {0: ['t'], 2: ['w', 't']}}",1
4,"[6512, 385, 120, 11]","['stray', 'chord', 'repel', 'izmir']","{'false_letters': ['e', 'p', 'o', 'y', 'd', 's', 'a', 'l', 't', 'h', 'c'], 'true_letters': {0: 'i', 1: 'z', 2: 'm', 3: 'i', 4: 'r'}, 'misplaced_letters': {2: ['r'], 3: ['r'], 0: ['r']}}",1
8,"[6512, 257, 7, 6, 5, 4, 3, 2]","['morph', 'dares', 'jared', 'tared', 'bared', 'cared', 'rared', 'fared']","{'false_letters': ['p', 'j', 'o', 'm', 'b', 's', 't', 'h', 'c'], 'true_letters': {2: 'r', 1: 'a', 3: 'e', 4: 'd', 0: 'f'}, 'misplaced_letters': {0: ['d', 'r']}}",0
4,"[6512, 253, 13, 7]","['acres', 'umped', 'meted', 'mowed']","{'false_letters': ['p', 'u', 's', 'a', 'r', 't', 'c'], 'true_letters': {3: 'e', 4: 'd', 0: 'm', 1: 'o', 2: 'w'}, 'misplaced_letters': {1: ['m', 'e']}}",1
4,"[6512, 126, 15, 8]","['balsa', 'helix', 'kelly', 'delft']","{'false_letters': ['i', 'y', 'x', 'b', 's', 'a', 'k', 'h'], 'true_letters': {2: 'l', 1: 'e', 0: 'd', 3: 'f', 4: 't'}, 'misplaced_letters': {3: ['l']}}",1
4,"[6512, 2540, 50, 1]","['tunny', 'bride', 'grass', 'arras']","{'false_letters': ['e', 'u', 'i', 'y', 'n', 'g', 'd', 'b', 't'], 'true_letters': {1: 'r', 4: 's', 0: 'a', 2: 'r', 3: 'a'}, 'misplaced_letters': {2: ['a'], 3: ['s']}}",1
4,"[6512, 329, 65, 3]","['enjoy', 'nisei', 'trend', 'texan']","{'false_letters': ['j', 'i', 'o', 'y', 'd', 's', 'r'], 'true_letters': {0: 't', 1: 'e', 2: 'x', 3: 'a', 4: 'n'}, 'misplaced_letters': {0: ['e', 'n'], 1: ['n'], 3: ['e', 'n'], 2: ['e']}}",1
3,"[6512, 115, 15]","['maude', 'place', 'anise']","{'false_letters': ['p', 'u', 'm', 'd', 'l', 'c'], 'true_letters': {4: 'e', 0: 'a', 1: 'n', 2: 'i', 3: 's'}, 'misplaced_letters': {1: ['a'], 2: ['a']}}",1
6,"[6512, 220, 43, 26, 19, 5]","['group', 'brave', 'franz', 'drama', 'tract', 'craws']","{'false_letters': ['p', 'e', 'u', 'f', 'o', 'z', 'v', 'n', 'g', 'd', 'b', 'm', 't'], 'true_letters': {1: 'r', 2: 'a', 0: 'c', 3: 'w', 4: 's'}, 'misplaced_letters': {4: ['a'], 3: ['c']}}",1
7,"[6512, 107, 73, 6, 5, 4, 1]","['leaps', 'rheas', 'bates', 'acmes', 'asses', 'andes', 'agnes']","{'false_letters': ['p', 'm', 'b', 'd', 'l', 'r', 't', 'h', 'c'], 'true_letters': {4: 's', 3: 'e', 0: 'a', 1: 'g', 2: 'n'}, 'misplaced_letters': {1: ['e', 'a', 's', 'n'], 2: ['a', 'e', 's'], 3: ['a']}}",0
4,"[6512, 517, 10, 1]","['dildo', 'platy', 'leper', 'expel']","{'false_letters': ['i', 'o', 'y', 'd', 'a', 'r', 't'], 'true_letters': {2: 'p', 3: 'e', 0: 'e', 1: 'x', 4: 'l'}, 'misplaced_letters': {2: ['l'], 0: ['p', 'l'], 1: ['l', 'e']}}",1
4,"[6512, 1872, 14, 1]","['poohs', 'twine', 'flute', 'elate']","{'false_letters': ['p', 'f', 'u', 'i', 'o', 'n', 'w', 's', 'h'], 'true_letters': {4: 'e', 1: 'l', 3: 't', 0: 'e', 2: 'a'}, 'misplaced_letters': {0: ['t']}}",1
4,"[6512, 1098, 9, 1]","['lamps', 'fedex', 'furze', 'fugue']","{'false_letters': ['p', 'z', 'x', 'm', 'd', 's', 'l', 'a', 'r'], 'true_letters': {0: 'f', 1: 'u', 4: 'e', 2: 'g', 3: 'u'}, 'misplaced_letters': {1: ['e'], 3: ['e']}}",1
4,"[6512, 299, 11, 1]","['irvin', 'crops', 'ardor', 'error']","{'false_letters': ['p', 'i', 'v', 'n', 'd', 's', 'a', 'c'], 'true_letters': {1: 'r', 3: 'o', 4: 'r', 0: 'e', 2: 'r'}, 'misplaced_letters': {2: ['o']}}",1
6,"[6512, 966, 72, 6, 2, 1]","['girts', 'comfy', 'donne', 'hooke', 'loewe', 'joule']","{'false_letters': ['f', 'i', 'y', 'n', 'g', 'w', 'm', 'd', 's', 'r', 'k', 't', 'h', 'c'], 'true_letters': {1: 'o', 4: 'e', 0: 'j', 2: 'u', 3: 'l'}, 'misplaced_letters': {2: ['o', 'e'], 0: ['l']}}",1
5,"[6512, 143, 27, 8, 2]","['terns', 'index', 'money', 'woken', 'nobel']","{'false_letters': ['i', 'y', 'x', 'w', 'd', 'm', 's', 'r', 'k', 't'], 'true_letters': {3: 'e', 1: 'o', 0: 'n', 2: 'b', 4: 'l'}, 'misplaced_letters': {1: ['e', 'n'], 3: ['n'], 2: ['n'], 4: ['n']}}",1
4,"[6512, 55, 6, 2]","['wages', 'ladle', 'table', 'earle']","{'false_letters': ['w', 'g', 'd', 'b', 's', 't'], 'true_letters': {1: 'a', 3: 'l', 4: 'e', 0: 'e', 2: 'r'}, 'misplaced_letters': {3: ['e'], 0: ['l']}}",1
5,"[6512, 1512, 35, 2, 1]","['mourn', 'hexes', 'asset', 'asked', 'askew']","{'false_letters': ['u', 'o', 'x', 'n', 'm', 'd', 'r', 't', 'h'], 'true_letters': {3: 'e', 0: 'a', 1: 's', 2: 'k', 4: 'w'}, 'misplaced_letters': {1: ['e'], 4: ['s'], 2: ['s']}}",1
8,"[6512, 144, 67, 48, 33, 5, 4, 3]","['haida', 'based', 'jared', 'famed', 'gaped', 'paced', 'payed', 'paved']","{'false_letters': ['f', 'j', 'i', 'y', 'g', 'm', 'b', 's', 'r', 'h', 'c'], 'true_letters': {1: 'a', 3: 'e', 4: 'd', 0: 'p', 2: 'v'}, 'misplaced_letters': {3: ['d'], 4: ['a'], 2: ['p']}}",0
4,"[6512, 799, 11, 1]","['basin', 'locke', 'extol', 'helot']","{'false_letters': ['i', 'x', 'n', 'b', 's', 'a', 'k', 'c'], 'true_letters': {3: 'o', 0: 'h', 1: 'e', 2: 'l', 4: 't'}, 'misplaced_letters': {0: ['l', 'e'], 1: ['o'], 4: ['e', 'l'], 2: ['t']}}",1
4,"[6512, 150, 2, 1]","['idled', 'demob', 'budge', 'badge']","{'false_letters': ['u', 'i', 'o', 'm', 'l'], 'true_letters': {0: 'b', 2: 'd', 3: 'g', 4: 'e', 1: 'a'}, 'misplaced_letters': {1: ['d', 'e'], 3: ['e'], 4: ['d', 'b'], 0: ['d']}}",1
7,"[6512, 915, 40, 21, 11, 3, 2]","['eclat', 'swine', 'fires', 'vibes', 'dikes', 'pipes', 'mixes']","{'false_letters': ['f', 'p', 'v', 'n', 'w', 'd', 'b', 'l', 'a', 'r', 'k', 't', 'c'], 'true_letters': {1: 'i', 3: 'e', 4: 's', 0: 'm', 2: 'x'}, 'misplaced_letters': {0: ['e', 's'], 2: ['i'], 4: ['e']}}",0
6,"[6512, 215, 98, 38, 2, 1]","['quoit', 'rigid', 'lxvii', 'swain', 'benin', 'pepin']","{'false_letters': ['u', 'q', 'o', 'v', 'x', 'g', 'w', 'd', 'b', 's', 'l', 'r', 'a', 't'], 'true_letters': {3: 'i', 4: 'n', 1: 'e', 0: 'p', 2: 'p'}, 'misplaced_letters': {1: ['i'], 4: ['i'], 2: ['n']}}",1
2,"[6512, 109]","['miles', 'carom']","{'false_letters': ['e', 'i', 's', 'l'], 'true_letters': {0: 'c', 1: 'a', 2: 'r', 3: 'o', 4: 'm'}, 'misplaced_letters': {0: ['m']}}",1
7,"[6512, 888, 118, 10, 3, 2, 1]","['gloss', 'hades', 'berms', 'veers', 'peers', 'jeers', 'seers']","{'false_letters': ['p', 'j', 'o', 'v', 'g', 'd', 'b', 'm', 'l', 'a', 'h'], 'true_letters': {4: 's', 1: 'e', 2: 'e', 3: 'r', 0: 's'}, 'misplaced_letters': {3: ['s', 'e'], 2: ['r']}}",0
4,"[6512, 1681, 159, 3]","['bigot', 'crave', 'wakes', 'ashen']","{'false_letters': ['i', 'o', 'v', 'g', 'w', 'b', 'r', 'k', 't', 'c'], 'true_letters': {3: 'e', 0: 'a', 1: 's', 2: 'h', 4: 'n'}, 'misplaced_letters': {2: ['a'], 4: ['e', 's'], 1: ['a']}}",1
6,"[6512, 2190, 13, 4, 3, 2]","['accra', 'dunes', 'seeds', 'heeds', 'feeds', 'leeds']","{'false_letters': ['f', 'u', 'n', 'a', 'r', 'h', 'c'], 'true_letters': {4: 's', 1: 'e', 2: 'e', 3: 'd', 0: 'l'}, 'misplaced_letters': {0: ['d', 's'], 3: ['e']}}",1
5,"[6512, 2627, 272, 29, 1]","['agana', 'zesty', 'smell', 'users', 'fresh']","{'false_letters': ['u', 'z', 'y', 'n', 'g', 'm', 'a', 'l', 't'], 'true_letters': {2: 'e', 0: 'f', 1: 'r', 3: 's', 4: 'h'}, 'misplaced_letters': {1: ['e', 's'], 2: ['s'], 0: ['s'], 3: ['r'], 4: ['s']}}",1
4,"[6512, 6, 4, 1]","['lucid', 'lynch', 'latch', 'leech']","{'false_letters': ['u', 'i', 'y', 'n', 'd', 'a', 't'], 'true_letters': {0: 'l', 3: 'c', 4: 'h', 1: 'e', 2: 'e'}, 'misplaced_letters': {2: ['c']}}",1
5,"[6512, 335, 13, 3, 1]","['groan', 'nicks', 'veins', 'snits', 'snips']","{'false_letters': ['e', 'o', 'v', 'g', 'a', 'r', 'k', 't', 'c'], 'true_letters': {4: 's', 2: 'i', 0: 's', 1: 'n', 3: 'p'}, 'misplaced_letters': {4: ['n'], 0: ['n'], 1: ['i'], 3: ['n']}}",1
